RowNumber;CustomerId;Surname;CreditScore;Geography;Gender;Age;Tenure;Balance;NumOfProducts;HasCrCard;IsActiveMember;EstimatedSalary;Exited;Frecuencia de compra Mes;CantidadcompraPromedio;Compra_MasResalizada;#¿NOMBRE?;puede acceder;es activo ;Salario Estimado;Numero De producto;Score;Ternuere;Edad;Suma;75%Salary;;;;;;;;;;;;;;;;;;
1;15634602;Hargrave;619;France;Female;42;2;0;1;1;1;101348,88;1;0;39526,0632;9;FALSO;1;3;3;1,00;2,5;2,5;2;15;65876,772;;;Frecuencia de compra ;;Rango 1;Rango 2;Rango 3;Rango 4;Rango 5;CreditScore;;;NumOfProducts;;HasCrCard;;IsActiveMember;
2;15647311;Hill;608;Spain;Female;41;1;83807,86;1;0;1;112542,58;0;5;29261,0708;12;VERDADERO;0;3;3;1,00;2,5;3;2;14,5;73152,677;;;edad;;18-23;23-30;30-40;40-50;50+;;;;;;;;;
3;15619304;Onio;502;France;Female;42;8;159660,8;3;1;0;113931,57;1;0;22216,65615;5;FALSO;1;1;3;3,00;3,5;2;2;15,5;74055,5205;;;ternure;;0-1;1-3;3-6;6-8;8+;Media;650,5288;;Media;1,5302;Media;0,7055;Media;0,5151
4;15701354;Boni;699;France;Female;39;1;0;2;0;0;93826,63;0;5;6098,73095;14;VERDADERO;0;1;3;2,00;2,5;3;3;14,5;60987,3095;;;credit store;;350-430;430-550;585-730;730-850;850;Error típico;0,966532987;;Error típico;0,005816544;Error típico;0,004558405;Error típico;0,004997969
5;15737888;Mitchell;850;Spain;Female;43;2;125510,82;1;1;1;79084,1;0;3;30842,799;10;VERDADERO;0;3;3;1,00;1;2,5;2;12,5;51404,665;;;number of produc;;1;2;3;4;4+;Mediana;652;;Mediana;1;Mediana;1;Mediana;1
6;15574012;Chu;645;Spain;Male;44;8;113755,78;2;1;0;149756,71;1;0;38936,7446;1;FALSO;1;1;2,5;2,00;2,5;2;2;13;97341,8615;;;estimatySalary;;11,58-200000;20000-45000;45000-130000;1300000-1900000;190000+;Moda;850;;Moda;1;Moda;1;Moda;1
7;15592531;Bartlett;822;France;Male;50;7;0;2;1;1;10062,8;0;5;1962,246;3;VERDADERO;0;3;4;2,00;2;2,5;1;14,5;6540,82;;;is an active member;;;;;;;Desviación estándar;96,65329874;;Desviación estándar;0,581654358;Desviación estándar;0,455840464;Desviación estándar;0,499796928
8;15656148;Obinna;376;Germany;Female;29;4;115046,74;4;1;0;119346,88;1;0;46545,2832;2;FALSO;1;1;3;4,00;3;3;3;18;77575,472;;;;;;;;;;Varianza de la muestra;9341,860157;;Varianza de la muestra;0,338321792;Varianza de la muestra;0,207790529;Varianza de la muestra;0,24979697
9;15792365;He;501;France;Male;44;4;142051,07;2;0;1;74940,5;0;7;4871,1325;11;VERDADERO;0;3;3;2,00;3,5;3;2;16,5;48711,325;;;exited;;;;;;;Curtosis;-0,425725685;;Curtosis;0,582980763;Curtosis;-1,186973281;Curtosis;-1,996746803
10;15592389;H?;684;France;Male;27;2;134603,88;1;1;1;71725,73;0;5;18648,6898;11;VERDADERO;0;3;3;1,00;2,5;2,5;3;15;46621,7245;;;has a credit card;;;;;;;Coeficiente de asimetría;-0,071606608;;Coeficiente de asimetría;0,745567888;Coeficiente de asimetría;-0,901811595;Coeficiente de asimetría;-0,060436628
11;15767821;Bearce;528;France;Male;31;6;102016,72;2;0;0;80181,12;0;5;31270,6368;5;VERDADERO;0;1;3;2,00;3,5;2,5;3;15;52117,728;;;;;;;;;;Rango;500;;Rango;3;Rango;1;Rango;1
12;15737173;Andrews;497;Spain;Male;24;3;0;2;1;0;76390,01;0;6;14896,05195;4;VERDADERO;0;1;3;2,00;3,5;3;3;15,5;49653,5065;;;;;;;;;;Mínimo;350;;Mínimo;1;Mínimo;0;Mínimo;0
13;15632264;Kay;476;France;Female;34;10;0;2;1;0;26260,98;0;5;8534,8185;2;VERDADERO;0;1;3,5;2,00;3,5;2;3;15;17069,637;;;;;;;;;;Máximo;850;;Máximo;4;Máximo;1;Máximo;1
14;15691483;Chin;549;France;Female;25;5;0;2;0;0;190857,79;0;5;62028,78175;13;VERDADERO;0;1;2;2,00;3,5;3;3;14,5;124057,5635;;;Codigo;;;;;;;Suma;6505288;;Suma;15302;Suma;7055;Suma;5151
15;15600882;Scott;635;Spain;Female;35;7;0;2;1;1;65951,65;0;6;17147,429;14;VERDADERO;0;3;3;2,00;2,5;2,5;3;16;42868,5725;;;;;;;;;;Cuenta;10000;;Cuenta;10000;Cuenta;10000;Cuenta;10000
16;15643966;Goforth;616;Germany;Male;45;3;143129,41;2;0;1;64327,26;0;6;12543,8157;12;VERDADERO;0;3;3;2,00;2,5;3;2;15,5;41812,719;;;;;;;;;;;;;;;;;;
17;15737452;Romeo;653;Germany;Male;58;1;132602,88;1;1;0;5097,67;1;0;662,6971;15;FALSO;1;1;4;1,00;2,5;3;1;13,5;3313,4855;;;;;;;;;;EstimatedSalary;;;;;;;;
18;15788218;Henderson;549;Spain;Female;24;9;0;2;1;1;14406,41;0;8;1872,8333;12;VERDADERO;0;3;4;2,00;3,5;2;3;17,5;9364,1665;;;;;;;;;;;;;;;;;;
19;15661507;Muldrow;587;Spain;Male;45;6;0;1;0;0;158684,81;0;2;51572,56325;8;VERDADERO;0;1;2,5;1,00;2,5;2,5;2;11,5;103145,1265;;;;;;;;;;Media;100090,2399;;Tenure;;;;;
20;15568982;Hao;726;France;Female;24;6;0;2;1;1;54724,03;0;6;14228,2478;9;VERDADERO;0;3;3;2,00;2,5;2,5;3;16;35570,6195;;;;;;;;;;Error típico;575,1049282;;;;;;;
21;15577657;McDonald;732;France;Male;41;8;0;2;1;1;170886,17;0;4;33322,80315;13;VERDADERO;0;3;2,5;2,00;2;2;2;13,5;111076,0105;;;;;;;;;;Mediana;100193,915;;Media;5,0128;;;;
22;15597945;Dellucci;636;Spain;Female;32;8;0;2;1;0;138555,46;0;3;45030,5245;11;VERDADERO;0;1;2,5;2,00;2,5;2;3;13;90061,049;;;;;;;;;;Moda;24924,92;;Error típico;0,028921744;;;;
