RowNumber;CustomerId;Surname;CreditScore;Geography;Gender;Age;Tenure;Balance;NumOfProducts;HasCrCard;IsActiveMember;EstimatedSalary;Exited;Frecuencia de compra Mes;CantidadcompraPromedio;Compra_MasResalizada
1;15634602;Hargrave;619;France;Female;42;2;0;1;1;1;101348,88;1;0;39526,0632;9
2;15647311;Hill;608;Spain;Female;41;1;83807,86;1;0;1;112542,58;0;5;29261,0708;12
3;15619304;Onio;502;France;Female;42;8;159660,8;3;1;0;113931,57;1;0;22216,65615;5
4;15701354;Boni;699;France;Female;39;1;0;2;0;0;93826,63;0;5;6098,73095;14
5;15737888;Mitchell;850;Spain;Female;43;2;125510,82;1;1;1;79084,1;0;3;30842,799;10
6;15574012;Chu;645;Spain;Male;44;8;113755,78;2;1;0;149756,71;1;0;38936,7446;1
7;15592531;Bartlett;822;France;Male;50;7;0;2;1;1;10062,8;0;5;1962,246;3
8;15656148;Obinna;376;Germany;Female;29;4;115046,74;4;1;0;119346,88;1;0;46545,2832;2
9;15792365;He;501;France;Male;44;4;142051,07;2;0;1;74940,5;0;7;4871,1325;11
10;15592389;H?;684;France;Male;27;2;134603,88;1;1;1;71725,73;0;5;18648,6898;11
11;15767821;Bearce;528;France;Male;31;6;102016,72;2;0;0;80181,12;0;5;31270,6368;5
12;15737173;Andrews;497;Spain;Male;24;3;0;2;1;0;76390,01;0;6;14896,05195;4
13;15632264;Kay;476;France;Female;34;10;0;2;1;0;26260,98;0;5;8534,8185;2
14;15691483;Chin;549;France;Female;25;5;0;2;0;0;190857,79;0;5;62028,78175;13
15;15600882;Scott;635;Spain;Female;35;7;0;2;1;1;65951,65;0;6;17147,429;14
16;15643966;Goforth;616;Germany;Male;45;3;143129,41;2;0;1;64327,26;0;6;12543,8157;12
17;15737452;Romeo;653;Germany;Male;58;1;132602,88;1;1;0;5097,67;1;0;662,6971;15
18;15788218;Henderson;549;Spain;Female;24;9;0;2;1;1;14406,41;0;8;1872,8333;12
19;15661507;Muldrow;587;Spain;Male;45;6;0;1;0;0;158684,81;0;2;51572,56325;8
20;15568982;Hao;726;France;Female;24;6;0;2;1;1;54724,03;0;6;14228,2478;9
21;15577657;McDonald;732;France;Male;41;8;0;2;1;1;170886,17;0;4;33322,80315;13
22;15597945;Dellucci;636;Spain;Female;32;8;0;2;1;0;138555,46;0;3;45030,5245;11
23;15699309;Gerasimov;510;Spain;Female;38;4;0;1;1;0;118913,53;1;0;15458,7589;11
24;15725737;Mosman;669;France;Male;46;3;0;2;0;1;8487,75;0;7;2758,51875;10
25;15625047;Yen;846;France;Female;38;5;0;1;1;1;187616,16;0;5;60975,252;6
26;15738191;Maclean;577;France;Male;25;3;0;2;0;1;124508,29;0;7;32372,1554;11
27;15736816;Young;756;Germany;Male;36;2;136815,64;1;1;1;170041,95;0;4;44210,907;3
28;15700772;Nebechi;571;France;Male;44;9;0;2;0;0;38433,35;0;3;9992,671;13
29;15728693;McWilliams;574;Germany;Female;43;3;141349,43;1;1;1;100187,43;0;5;26048,7318;12
30;15656300;Lucciano;411;France;Male;29;0;59697,17;2;1;1;53483,21;0;7;20858,4519;6
31;15589475;Azikiwe;591;Spain;Female;39;3;0;3;1;0;140469,38;1;0;36522,0388;13
32;15706552;Odinakachukwu;533;France;Male;36;7;85311,7;1;0;1;156731,91;0;6;30562,72245;7
33;15750181;Sanderson;553;Germany;Male;41;9;110112,54;2;0;0;81898,81;0;3;21293,6906;8
34;15659428;Maggard;520;Spain;Female;42;6;0;2;1;1;34410,55;0;7;11183,42875;8
35;15732963;Clements;722;Spain;Female;29;9;0;2;1;1;142033,07;0;5;36928,5982;6
36;15794171;Lombardo;475;France;Female;45;0;134264,04;1;1;0;27822,99;1;0;5425,48305;15
37;15788448;Watson;490;Spain;Male;31;3;145260,23;1;0;1;114066,77;0;7;29657,3602;12
38;15729599;Lorenzo;804;Spain;Male;33;7;76548,6;1;0;1;98453,45;0;5;31997,37125;14
39;15717426;Armstrong;850;France;Male;36;7;0;1;1;1;40812,9;0;4;2652,8385;2
40;15585768;Cameron;582;Germany;Male;41;6;70349,48;2;0;1;178074,04;0;5;11574,8126;10
41;15619360;Hsiao;472;Spain;Male;40;4;0;1;1;0;70154,22;0;4;27360,1458;4
42;15738148;Clarke;465;France;Female;51;8;122522,32;1;0;0;181297,65;1;1;11784,34725;12
43;15687946;Osborne;556;France;Female;61;2;117419,35;1;1;1;94153,83;0;3;24479,9958;2
44;15755196;Lavine;834;France;Female;49;2;131394,56;1;0;0;194365,76;1;1;12633,7744;9
45;15684171;Bianchi;660;Spain;Female;61;5;155931,11;1;1;1;158338,39;0;3;10291,99535;14
46;15754849;Tyler;776;Germany;Female;32;4;109421,13;2;1;1;126517,46;0;6;32894,5396;5
47;15602280;Martin;829;Germany;Female;27;9;112045,67;1;1;1;119708,21;1;0;31124,1346;5
48;15771573;Okagbue;637;Germany;Female;39;9;137843,8;1;1;1;117622,8;1;0;7645,482;2
49;15766205;Yin;550;Germany;Male;38;2;103391,38;1;0;1;90878,13;0;5;11814,1569;6
50;15771873;Buccho;776;Germany;Female;37;2;103769,22;2;1;0;194099,12;0;3;75698,6568;5
51;15616550;Chidiebele;698;Germany;Male;44;10;116363,37;2;1;0;198059,16;0;2;51495,3816;11
52;15768193;Trevisani;585;Germany;Male;36;5;146050,97;2;0;0;86424,57;0;5;22470,3882;13
53;15683553;O'Brien;788;France;Female;33;5;0;2;0;0;116978,19;0;4;30414,3294;14
54;15702298;Parkhill;655;Germany;Male;41;8;125561,97;1;0;0;164040,94;1;1;53313,3055;2
55;15569590;Yoo;601;Germany;Male;42;1;98495,72;1;1;0;40014,76;1;0;15605,7564;9
56;15760861;Phillipps;619;France;Male;43;1;125211,92;1;1;1;113410,49;0;5;22115,04555;1
57;15630053;Tsao;656;France;Male;45;5;127864,4;1;1;0;87107,57;0;3;5661,99205;11
58;15647091;Endrizzi;725;Germany;Male;19;0;75888,2;1;0;0;45613,75;0;6;2964,89375;4
59;15623944;T'ien;511;Spain;Female;66;4;0;1;1;0;1643,11;1;0;640,8129;6
60;15804771;Velazquez;614;France;Male;51;4;40685,92;1;1;1;46775,28;0;4;18242,3592;8
61;15651280;Hunter;742;Germany;Male;35;5;136857;1;0;0;84509,57;0;3;27465,61025;6
62;15773469;Clark;687;Germany;Female;27;9;152328,88;2;0;0;126494,82;0;4;24666,4899;9
63;15702014;Jeffrey;555;Spain;Male;33;1;56084,69;2;0;0;178798,13;0;4;58109,39225;4
64;15751208;Pirozzi;684;Spain;Male;56;8;78707,16;1;1;1;99398,36;0;3;6460,8934;15
65;15592461;Jackson;603;Germany;Male;26;4;109166,37;1;1;1;92840,67;0;6;12069,2871;13
66;15789484;Hammond;751;Germany;Female;36;6;169831,46;2;1;1;27758,36;0;6;1804,2934;7
67;15696061;Brownless;581;Germany;Female;34;1;101633,04;1;1;0;110431,51;0;4;43068,2889;1
68;15641582;Chibugo;735;Germany;Male;43;10;123180,01;2;1;1;196673,28;0;3;63918,816;14
69;15638424;Glauert;661;Germany;Female;35;5;150725,53;2;0;1;113656,85;0;7;29550,781;8
70;15755648;Pisano;675;France;Female;21;8;98373,26;1;1;0;18203;0;6;2366,39;13
71;15703793;Konovalova;738;Germany;Male;58;2;133745,44;4;1;0;28373,86;1;0;3688,6018;3
72;15620344;McKee;813;France;Male;29;6;0;1;1;0;33953,87;0;3;8828,0062;2
73;15812518;Palermo;657;Spain;Female;37;0;163607,18;1;0;1;44203,55;0;6;14366,15375;5
74;15779052;Ballard;604;Germany;Female;25;5;157780,84;2;1;1;58426,81;0;7;7595,4853;5
75;15770811;Wallace;519;France;Male;36;9;0;2;0;1;145562,4;0;6;9461,556;5
76;15780961;Cavenagh;735;France;Female;21;1;178718,19;2;1;0;22388;0;7;8731,32;14
77;15614049;Hu;664;France;Male;55;8;0;2;1;1;139161,64;0;3;54273,0396;9
78;15662085;Read;678;France;Female;32;9;0;1;1;1;148210,64;0;4;48168,458;1
79;15575185;Bushell;757;Spain;Male;33;5;77253,22;1;0;1;194239,63;0;4;12625,57595;9
80;15803136;Postle;416;Germany;Female;41;10;122189,66;2;1;0;98301,61;0;3;19168,81395;7
81;15706021;Buley;665;France;Female;34;1;96645,54;2;0;0;171413,66;0;4;33425,6637;6
82;15663706;Leonard;777;France;Female;32;2;0;1;1;0;136458,19;1;0;26609,34705;14
83;15641732;Mills;543;France;Female;36;3;0;2;0;0;26019,59;0;6;10147,6401;6
84;15701164;Onyeorulu;506;France;Female;34;4;90307,62;1;1;1;159235,29;0;6;10350,29385;5
85;15738751;Beit;493;France;Female;46;4;0;2;1;0;1907,66;0;6;247,9958;2
86;15805254;Ndukaku;652;Spain;Female;75;10;0;2;1;1;114675,75;0;4;7453,92375;11
87;15762418;Gant;750;Spain;Male;22;3;121681,82;1;1;0;128643,35;1;0;25085,45325;3
88;15625759;Rowley;729;France;Male;30;9;0;2;1;0;151869,35;0;3;49357,53875;7
89;15622897;Sharpe;646;France;Female;46;4;0;3;1;0;93251,42;1;0;18184,0269;5
90;15767954;Osborne;635;Germany;Female;28;3;81623,67;2;1;1;156791,36;0;6;30574,3152;11
91;15757535;Heap;647;Spain;Female;44;5;0;3;1;1;174205,22;1;0;33970,0179;14
92;15731511;Ritchie;808;France;Male;45;7;118626,55;2;1;0;147132,46;0;2;19127,2198;11
93;15809248;Cole;524;France;Female;36;10;0;2;1;0;109614,57;0;5;14249,8941;15
94;15640635;Capon;769;France;Male;29;8;0;2;1;1;172290,61;0;5;67193,3379;4
95;15676966;Capon;730;Spain;Male;42;4;0;2;0;1;85982,47;0;5;33533,1633;8
96;15699461;Fiorentini;515;Spain;Male;35;10;176273,95;1;0;1;121277,78;0;6;47298,3342;14
97;15738721;Graham;773;Spain;Male;41;9;102827,44;1;0;1;64595,25;0;3;12596,07375;15
98;15693683;Yuille;814;Germany;Male;29;8;97086,4;2;1;1;197276,13;0;4;76937,6907;9
99;15604348;Allard;710;Spain;Male;22;8;0;2;0;0;99645,04;0;6;19430,7828;12
100;15633059;Fanucci;413;France;Male;34;9;0;2;0;0;6534,18;0;5;424,7217;13
101;15808582;Fu;665;France;Female;40;6;0;1;1;1;161848,03;0;4;10520,12195;11
102;15743192;Hung;623;France;Female;44;6;0;2;0;0;167162,43;0;3;10865,55795;7
103;15580146;Hung;738;France;Male;31;9;82674,15;1;1;0;41970,72;0;3;16368,5808;10
104;15776605;Bradley;528;Spain;Male;36;7;0;2;1;0;60536,56;0;5;15739,5056;6
105;15804919;Dunbabin;670;Spain;Female;65;1;0;1;1;1;177655,68;1;0;46190,4768;1
106;15613854;Mauldon;622;Spain;Female;46;4;107073,27;2;1;1;30984,59;1;0;6041,99505;1
107;15599195;Stiger;582;Germany;Male;32;1;88938,62;1;1;1;10054,53;0;7;1307,0889;13
108;15812878;Parsons;785;Germany;Female;36;2;99806,85;1;0;1;36976,52;0;5;14420,8428;10
109;15602312;Walkom;605;Spain;Male;33;5;150092,8;1;0;0;71862,79;0;4;28026,4881;8
110;15744689;T'ang;479;Germany;Male;35;9;92833,89;1;1;0;99449,86;1;0;32321,2045;15
111;15803526;Eremenko;685;Germany;Male;30;3;90536,81;1;0;1;63082,88;0;6;4100,3872;6
112;15665790;Rowntree;538;Germany;Male;39;7;108055,1;2;1;0;27231,26;0;6;5310,0957;14
113;15715951;Thorpe;562;France;Male;42;2;100238,35;1;0;0;86797,41;0;2;11283,6633;8
114;15591100;Chiemela;675;Spain;Male;36;9;106190,55;1;0;1;22994,32;0;5;5978,5232;5
115;15609618;Fanucci;721;Germany;Male;28;9;154475,54;2;0;1;101300,94;1;6;19753,6833;7
116;15675522;Ko;628;Germany;Female;30;9;132351,29;2;1;1;74169,13;0;6;9641,9869;5
117;15705512;Welch;668;Germany;Female;37;6;167864,4;1;1;0;115638,29;0;3;15032,9777;9
118;15698028;Duncan;506;France;Female;41;1;0;2;1;0;31766,3;0;5;10324,0475;5
119;15661670;Chidozie;524;Germany;Female;31;8;107818,63;1;1;0;199725,39;1;0;12982,15035;6
120;15600781;Wu;699;Germany;Male;34;4;185173,81;2;1;0;120834,48;0;5;39271,206;13
121;15682472;Culbreth;828;France;Male;34;8;129433,34;2;0;0;38131,77;0;4;14871,3903;3
122;15580203;Kennedy;674;Spain;Male;39;6;120193,42;1;0;0;100130,95;0;3;6508,51175;15
123;15690673;Cameron;656;France;Female;39;6;0;2;1;0;141069,88;0;4;45847,711;5
124;15760085;Calabresi;684;Germany;Female;48;10;126384,42;1;1;1;198129,36;0;3;12878,4084;12
125;15779659;Zetticci;625;France;Female;28;3;0;1;0;0;183646,41;0;3;11937,01665;5
126;15627360;Fuller;432;France;Male;42;9;152603,45;1;1;0;110265,24;1;0;7167,2406;9
127;15671137;MacDonald;549;France;Female;52;1;0;1;0;1;8636,05;1;6;561,34325;9
128;15782688;Piccio;625;Germany;Male;56;0;148507,24;1;1;0;46824,08;1;0;18261,3912;2
129;15575492;Kennedy;828;France;Female;41;7;0;2;1;0;171378,77;0;2;22279,2401;5
130;15591607;Fernie;770;France;Male;24;9;101827,07;1;1;0;167256,35;0;2;32614,98825;15
131;15740404;He;758;France;Female;34;3;0;2;1;1;124226,16;0;6;24224,1012;11
132;15718369;Kaodilinakachukwu;795;Germany;Female;33;9;130862,43;1;1;1;114935,21;0;4;14941,5773;13
133;15677871;Cocci;687;France;Male;38;9;122570,87;1;1;1;35608,88;0;5;2314,5772;7
134;15642004;Alekseeva;686;France;Male;25;1;0;2;0;1;16459,37;0;8;5349,29525;6
135;15712543;Chinweike;789;Germany;Male;39;7;124828,46;2;1;1;124411,08;0;6;16173,4404;15
136;15584518;Arthur;589;Germany;Female;50;5;144895,05;2;1;1;34941,23;0;5;6813,53985;5
137;15802381;Li;461;Germany;Female;34;5;63663,93;1;0;1;167784,28;0;6;65435,8692;10
138;15610156;Ma;637;France;Male;40;2;133463,1;1;0;1;93165,34;0;4;30278,7355;10
139;15594408;Chia;584;Spain;Female;48;2;213146,2;1;1;0;75161,25;1;0;14656,44375;11
140;15640905;Vasin;579;Spain;Female;35;1;129490,36;2;0;1;8590,83;1;8;3350,4237;11
141;15698932;Groves;756;Germany;Male;44;10;137452,09;1;1;0;189543,9;0;1;12320,3535;8
142;15724944;Tien;663;France;Male;34;7;0;2;1;1;180427,24;0;6;23455,5412;5
143;15628145;Forwood;682;France;Female;43;5;125851,93;1;1;1;193318,33;0;4;50262,7658;11
144;15713483;Greeves;793;Spain;Male;52;2;0;1;1;0;159123,82;1;0;10343,0483;7
145;15612350;Taylor;691;France;Female;31;5;40915,55;1;1;0;126213,84;1;0;24611,6988;7
146;15800703;Madukwe;485;Spain;Female;21;5;113157,22;1;1;1;54141,5;0;9;3519,1975;13
147;15705707;Bennelong;635;Spain;Female;29;8;138296,94;2;1;0;141075,51;0;3;45849,54075;15
148;15754105;Olisanugo;650;France;Male;37;5;106967,18;1;0;0;24495,03;0;4;3184,3539;4
149;15703264;Chukwufumnanya;735;France;Male;44;9;120681,63;1;1;0;74836,34;0;1;19457,4484;13
150;15794413;Harris;416;France;Male;32;0;0;2;0;1;878,87;0;8;228,5062;9
151;15650237;Morgan;754;Spain;Female;32;7;0;2;1;0;89520,75;0;4;5818,84875;5
152;15759618;Alexeeva;535;France;Female;48;9;0;1;1;0;149892,79;1;0;9743,03135;8
153;15811589;Metcalfe;716;Spain;Male;42;8;0;2;1;0;180800,42;0;2;70512,1638;15
154;15689044;Humphries;539;France;Male;37;2;127609,59;1;1;0;98646,22;0;4;19236,0129;15
